괜찮다	To be okay
다름없다	Be similar, not different
포근하다	мягкий; нежный; тёплый
웬만하다	сносный; удовлетворительный
엄청나다	огромный; непомерный; страшный; невообразимый
잦다	Be frequent, incessant 왕래가 ~
만만하다	мягкий; слабый; простой; 대적할 만함
고요하다	тихий; безмолвный; спокойный
곧다	прямой
바람직하다	Be desirable, advisable, to be appropriate, good
환하다	To be clear, unobstructed ; to be light, bright (opp. 어둡다)
번거롭다	довольно сложны(запутанный); шумный 할 일이 많아서 아주 바쁘다
실리다	быть нагруженным; быть помещённым 싣다'의 피동사
싱겁다	пресный; несоленный; недосоленный; слабый; некрепкий;
쓰다	горький; крепкий 나물이 ~
달다	сладкий; вкусный; 맛
짜다	солёный 음식이 ~
맵다	острый;
고소하다	вкусный; пахнущий запахом поджаренного кунжута 맛이 ~
까맣다	Black
캄캄하다	To be pitch-black
검다	Black or  dark 색깔이 ~
노랗다	Be yellow
하얗다	White
희다	White, fair
붉다	красный
빨갛다	deep-red,crimson
푸르다	To be blue, to be green
파랗다	To be blue
갑자기	Suddenly
벌떡	Suddenly, abruptly
문득	Suddenly
같이	Together
가끔	Sometimes
하지만	But, nevertheless
함께	Together, with
더	More
덜	Less, incompletely
다시	Again
다	All, everything
너무	Too much
아주	Extremely
매우	Very
그렇지만	But or  however
그래서	And so accordingly
그러니까	And so it is that
그러면	If so or  if that is the case
그럼	Certainly or  of course. 그러면'의 준말
그러나	However or  but still
그런데	But or  however
그런대로	Such as it is or  anyways
근데	But or  however 그런데
그리고	And or  and then
그래	да; так 그리하여
그러므로	So or  hence or  therefore
그렇게	And so. like that 그러하게
이렇게	In this way 이러하게
저렇게	Like that 저러하게
곧	Soon
어서	Quickly 2) kindly
어제	Yesterday
언제	when,at what time
언제나	everytime,always
언젠가	One of these days, at some time in the future
얼마나	How many, how much
자주	Always, constantly
늘	Always
아직	Still
벌써	Already
이미	Already
아니	Not
아마	Probably
서로	mutually,one another
빨리	Quickly
바로	Right, correctly
못	Cannot
많이	A lot
조금	A little
좀	A little 조금
안	~ not ~ + VERB 아니
꼭	точно; как раз; непременно крепко; сильно 반드시
참	really,truly 참으로
왜	Why?
왜냐하면	Because
일찍	Early
일찍이	Early
천천히	Slowly
잘	Well
잠깐	For a little while
오래	Long, for a long time
내내	All along, the entire time
가장	Most
먼저	First
보다	More than, greater than .... 한층 더
마구	беспорядочно; без разбора
막	Carelessly, at random 마구
막	Just now 바로 지금
거의	Almost or  nearly
가까이	Close
가득	Full ~ 차다
가만히	Quietly or  softly
한꺼번에	одновременно; сразу; за один раз
푹	Completely, entirely; неосторожно
함부로	беспорядочно; как попало
도로	Back, same as ever, same as it was before
깨끗이	Clean or  neatly
꾸준히	Untiringly, ceaselessly
살짝	(1) softly,lightly,just a little (2) furtively, stealthily
잔뜩	extremely,to the utmost
어쩌면	может быть; вероятно; возможно 아마도 2) как; какой
어쩐지	(1) почему-то; отчего-то; неудивительно, что (2) in combination with an ending giving a reason to place stress on the action of the verb
겨우	Barely or  narrowly.  간신히
흔히	Generally, commonly ; often
마음대로	As you wish
마주	Face to face
마치	As though, as if
마침	Just, exactly
마침내	Finally, in the end
대단히	Extremely
꽤	Fairly or  considerably
끝내	The end
깊이	Deepness
깜빡	With a flash or  twinkle
그만	That much or  a little amount 그 정도까지만
그만큼	That much or  to that extent
그냥	Just because or  in that condition
그다지	So much or  to that extent
굳이	Firmly or  admanantly
곧바로	At once or  straight away
게다가	In addition
없이	Without
엊그제	The day before yesterday, a few days ago
어느새	незаметно; как-то; уже
얼른	Fast, quickly, rapidly
아까	A little while ago
아마도	Probably
아무래도	Never on any account, no matter what
아무리	However much
아무튼	In any case
스스로	On its own, of its own free will
새로	newly,anew
반드시	непременно; обязательно; безусловно
미리	Beforehand
및	As well as
몰래	secretly,quietly
몹시	Extremely
멀리	Far away
훨씬	By far, very much so
이따가	A little later
유난히	uncommon,exceptional
왠지	I don’t know why, there is no reason for it
이리	This way, this direction ~ 오너라
저리	That place 저곳으로
그리	So or  to that extent 그러한 모양
해마다	Every year, each year
조금씩	A little at a time, little by little
조용히	Quietly
제대로	As properly is suitable
제발	kindly,please
제법	quite,fairly,considerably
적어도	At the least
무척	Extremely
너무나	Extremely
자꾸	всё время; непрерывно; то и дело
자꾸만	Repeatedly (emphasized)
오직	Only, merely, solely
온통	Wholly, entirely
오래도록	For long, a long while
높이	High, aloft (adverb)
잘못	wrong,mistake
깜짝	With a surprise 놀라는 모양
갈수록	As one goes aong
달리	Differently
가득히	Full
가만	Quietly or  softly
한데	The open air, outside, the exterior
하긴	Indeed, though, nevertheless
하도	Too much, excessively
확	With a burst, great puff
퍽	Very, very much ~ 궁금하다
거꾸로	вверх ногами; вверх дном; шиворот-навыворот; наоборот
워낙	с самого начала; по природе; очень; ужасно; слишком
새로이	newly,afresh
막상	Really, actually
대충	Almost, nearly, about
더욱	More and more
더욱더	More and more and more
더욱이	Besides, moreover
도리어	On the contrary
다만	Only, merely
널리	Widely
꼭	Tightly or  fast 힘을 주는 모양
꼼짝	Cannot move
꽉	Tightly or  fast
끊임없이	Constantly or  unceasingly
끝없이	Boundlessly
나란히	In a line, row
그저	1) still or  all the time  2) easily or  with no effort
그제야	For the first time or  not ... until,  only when; only after; 
그토록	So much or  to such an extent
금세	In a moment or  at once
고작	To be at the highest or  the best
곧잘	1) fairly or  pretty well 2) frequently or  too often
어쨌든	In any case, anyhow
어쩜	Well, I guess that, is extremely.....
앞서	Before, previously 2) in anticipation,beforehand
어느덧	незаметно; невольно; неожидан
쓸데없이	To have no use
실컷	To one’s satisfaction
썩	Very much,greatly
슬그머니	Furtively
손수	With one’s own hands, personally
비로소	только что; впервые
힘껏	With all one’s might
힘없이	feebly,weekly
바싹	Completely
미처	To that extent
모조리	One and all, wholly
모처럼	At long last
말없이	At a loss for words
마음껏	As much as you want
이따금	From time to time
활짝	extensively,widely
이같이	Like this, like so
이내	soon,right away
이대로	As it is
채	Still, not yet 말이 ~ 끝나기도 전에
이리저리	This way and that, here and there ~ 돌아다니다
이어	vulgarity,slang
이어서	Subsequently
이윽고	After a while, shortly
이제야	These days
일부러	On purpose, intentionally
튼튼히	Strongly, firmly
탁	With a bang, with a snap
차라리	rather,preferably
차츰	gradually,step by step
참으로	really,indeed
쭉	All the time
죽	In a very straight line, in a row 줄을 ~ 긋다
저마다	Each one, everyone
저절로	Of itself, on its own accord
재빨리	quickly,rapidly
영	Really, totally ~ 딴판이다
오히려	Rather,preferably
